Gestion_Plantel	Tipo_Plantel	Nivel_Socioeconomico	Estudio_Padres	primera_opc	segunda_opc	opsu	mat_1	mat_2	mat_3	mat_4	cant_mats	promedio	calculo
0	0	1	2	1	2	0	10	12	10	10	37	10,05	3
1	0	1	1	1	2	0	10	10	10	11	37	11,34	4
0	0	0	4	1	3	0	13	12	10	11	31	11,47	4
0	0	1	1	1	3	0	10	12	11	10	37	11,54	10
0	0	1	4	1	3	0	18	10	11	10	38	11,76	5
0	0	1	4	4	2	0	17	16	15	15	37	16,66	17
1	0	0	0	1	2	1	14	12	17	13	36	15,63	13
0	2	1	4	1	3	0	12	16	16	17	50	15,55	6
0	0	0	4	2	3	0	14	14	19	18	37	16,90	15
0	0	1	1	3	1	0	20	20	20	20	37	19,95	18
0	0	0	3	4	2	0	20	20	20	20	38	19,76	15
1	0	1	4	4	2	0	20	19	20	20	37	19,27	16
1	0	1	4	0	4	0	20	19	20	19	37	19,07	10
1	0	1	4	1	2	0	19	18	20	16	38	19,05	16
0	0	1	4	1	3	0	19	20	20	20	37	18,98	17
0	1	1	1	1	3	0	14	10	13	12	42	13,13	4
1	0	1	3	0	2	0	18	19	18	18	37	18,71	19
1	0	1	4	2	3	0	16	18	19	19	37	18,66	16
1	0	1	3	0	4	0	17	16	17	19	37	18,59	7
0	1	1	2	1	3	0	13	12	10	11	42	13,96	15
0	0	1	1	1	3	0	19	19	18	18	37	18,37	5
0	0	1	2	1	2	0	17	16	19	19	37	18,27	18
0	0	1	2	0	4	0	15	16	17	20	34	18,29	12
0	1	0	2	4	0	0	10	10	15	19	39	14,98	19
0	1	0	2	1	2	0	16	18	19	18	39	17,37	15
1	0	1	1	1	3	0	19	18	18	17	38	18,21	18
1	0	1	4	1	3	0	16	18	19	14	37	18,2	17
1	0	0	4	1	2	0	18	19	19	16	37	18,15	16
1	0	0	2	3	1	0	17	19	19	19	37	18,07	17
1	0	0	2	1	3	0	16	14	19	19	37	18,07	16
0	0	1	3	0	2	0	18	18	19	16	37	18,05	15
1	0	0	3	1	3	0	17	17	16	19	38	18,02	16
1	0	1	4	2	1	0	19	17	19	17	37	18,51	15
1	1	1	4	4	2	0	11	13	14	15	39	14,05	4
0	0	1	2	1	3	0	10	10	13	11	37	11,85	8
1	0	0	1	1	3	0	11	10	10	13	37	11,9	7
1	0	1	4	1	2	0	10	14	10	11	37	11,93	7
1	0	1	2	1	3	0	12	10	10	10	37	11,93	10
1	0	1	4	0	4	0	10	10	11	15	37	12,07	4
1	0	0	4	1	3	0	14	15	11	10	37	12,12	3
1	0	1	4	0	4	0	15	10	10	11	37	12,12	1
0	0	1	1	1	3	0	11	11	10	11	37	12,15	11
0	0	1	4	1	2	0	12	10	10	12	37	12,15	16
1	0	1	4	1	3	0	12	10	10	11	27	12,16	4
0	0	1	4	1	3	0	11	17	10	13	38	12,17	18
1	0	1	4	1	2	0	10	10	12	11	37	12,2	12
0	0	1	3	1	2	0	10	10	10	10	37	12,32	6
0	0	1	3	1	3	0	14	11	10	10	37	12,37	3
0	0	0	4	1	3	0	14	12	13	10	37	12,37	5
0	0	1	4	1	3	0	15	15	12	16	37	14,95	3
0	0	1	2	4	0	0	10	10	15	19	39	14,98	12
0	0	1	2	4	2	0	14	17	16	14	37	15,05	17
0	0	1	3	1	3	0	16	12	15	16	32	15,06	6
0	0	1	1	1	3	0	16	17	17	15	37	15,10	5
1	0	1	1	4	0	0	12	14	11	10	37	15,10	11
1	0	1	4	0	3	0	15	11	10	17	37	15,12	18
0	0	1	1	1	2	0	16	13	14	17	37	15,12	17
0	0	1	1	1	2	0	16	18	12	11	37	15,17	15
0	0	1	1	1	3	0	16	15	11	11	37	15,27	13
0	0	1	3	1	3	0	18	19	19	19	37	18,9	17

