mat_1	mat_2	mat_3	mat_4	promedio	cant_mat	cal_1	gestion_plantel	tipo_plantel	nivel_estudios_padres	nivel_socioeco	escuela	genero	opsu
17	16	12	18	16	40	4	publico	escuela_tecnica	escuela_primaria_completa_escuela_secundaria_incompleta	medio	computacion	masculino	no
16	15	13	13	14.75	38	14	publico	ciencias_basicas	escuela_secundaria_completa_estudio_superior_no_universitario_incompleta	bajo	computacion	femenino	no
15	15	15	16	15	50	12	privado	ciencias_basicas	escuela_secundaria_completa_estudio_superior_no_universitario_incompleta	medio	matematica	masculino	si
11	14	14	15	15	35	15	privado	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	matematica	femenino	no
16	15	15	16	16	40	3	privado	ciencias_basicas	escuela_primaria_completa_escuela_secundaria_incompleta	medio	biologia	masculino	no
16	16	10	12	12	14.8	17	publico	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	bajo	computacion	masculino	no
10	11	10	14	15	35	10	publico	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	bajo	computacion	masculino	no
18	17	15	18	17.01	72	2	publico	escuela_tecnica	estudio_superior_no_universitarios_completo_estudio_universitario_incompleto	bajo	computacion	masculino	si
12	17	16	19	16.50	40	9	publico	escuela_tecnica	estudio_universitario_completo_estudios_de_posgrado	medio	matematica	masculino	si
19	18	19	19	16	40	4	publico	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	computacion	masculino	si
17	18	20	20	19.75	45	12	publico	ciencias_basicas	no_hizo_estudios_escuela_primaria_incompleta	medio	fisica	femenino	si
16	17	17	18	18	50	1	privado	ciencias_basicas	estudio_superior_no_universitarios_completo_estudio_universitario_incompleto	medio	biologia	femenino	si
15	13	17	15	17.75	43	1	publico	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	bajo	computacion	femenino	si
19	19	19	19	16.25	51	15	privado	ciencias_basicas	estudio_superior_no_universitarios_completo_estudio_universitario_incompleto	medio	computacion	masculino	no
18	17	18	17	17.5	40	3	privado	ciencias_basicas	escuela_secundaria_completa_estudio_superior_no_universitario_incompleta	medio	computacion	masculino	si
14	12	14	14	13	20	2	privado	ciencias_basicas	estudio_superior_no_universitarios_completo_estudio_universitario_incompleto	medio	computacion	masculino	si
11	14	12	17	15	51	4	publico	ciencias_basicas	no_hizo_estudios_escuela_primaria_incompleta	medio	computacion	masculino	si
17	16	17	16	17.63	42	0	privado	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	computacion	masculino	no
16	14	10	15	16	50	3	publico	ciencias_basicas	escuela_primaria_completa_escuela_secundaria_incompleta	medio	computacion	femenino	si
19	20	18	17	18.3	48	9	publico	ciencias_basicas	estudio_superior_no_universitarios_completo_estudio_universitario_incompleto	medio	computacion	masculino	si
18	15	10	13	12	25	10	privado	escuela_tecnica	estudio_universitario_completo_estudios_de_posgrado	medio	computacion	masculino	si
20	20	18	17	15.1	50	8	privado	ciencias_basicas	escuela_secundaria_completa_estudio_superior_no_universitario_incompleta	bajo	computacion	masculino	si
19	14	10	14	15	36	8	publico	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	bajo	computacion	masculino	si
18	17	16	18	17.25	40	6	publico	ciencias_basicas	estudio_superior_no_universitarios_completo_estudio_universitario_incompleto	medio	computacion	masculino	si
19	19	19	18	19.6	37	4	privado	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	computacion	masculino	si
17	18	16	18	19.192	45	13	privado	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	computacion	masculino	no
18	17	18	17	17	40	2	privado	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	computacion	masculino	no
15	16	14	17	15	38	10	privado	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	computacion	masculino	no
19	18	15	16	17	40	10	privado	escuela_tecnica	estudio_universitario_completo_estudios_de_posgrado	bajo	computacion	masculino	si
20	19	18.5	20	18.85	23	7	publico	ciencias_basicas	escuela_primaria_completa_escuela_secundaria_incompleta	bajo	computacion	masculino	si
13	14	16	15	14.5	35	10	privado	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	computacion	femenino	no
16	17	17	13	15.26	48	6	publico	ciencias_basicas	escuela_secundaria_completa_estudio_superior_no_universitario_incompleta	bajo	computacion	masculino	no
18	19	17	18	14.32	44	14	publico	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	matematica	masculino	no
15	17	16	14	18	50	2	publico	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	biologia	femenino	si
17	18	15	16	17.098	50	3	privado	instituto_militar	estudio_superior_no_universitarios_completo_estudio_universitario_incompleto	medio	computacion	masculino	si
18	18	16	18	17.6	42	16	privado	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	biologia	masculino	si
17	18	16	17	16.40	40	8	publico	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	computacion	masculino	si
19	18	16	17	17.2	40	4	publico	ciencias_basicas	no_hizo_estudios_escuela_primaria_incompleta	medio	computacion	masculino	si
17	15	14	13	16	50	13	privado	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	matematica	masculino	si
19	20	18	20	19.1	45	10	publico	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	computacion	femenino	si
19	18	18	18	17	45	4	privado	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	computacion	femenino	no
12	14	12	17	15	50	4	privado	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	computacion	masculino	si
10	11	12	13	11.5	10	13	publico	ciencias_basicas	estudio_superior_no_universitarios_completo_estudio_universitario_incompleto	medio	matematica	masculino	si
15	15	16	16	14	35	3	privado	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	computacion	masculino	si
18	19	17	18	17.8	50	7	publico	ciencias_basicas	estudio_superior_no_universitarios_completo_estudio_universitario_incompleto	medio	computacion	masculino	si
13	14	12	15	16.75	40	5	publico	escuela_tecnica	estudio_universitario_completo_estudios_de_posgrado	medio	computacion	femenino	no
15	14	16	18	16	55	0	publico	ciencias_basicas	estudio_superior_no_universitarios_completo_estudio_universitario_incompleto	medio	biologia	masculino	no
16	18	20	18	18	40	7	publico	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	computacion	masculino	si
15	14	16	16	17	55	4	publico	ciencias_basicas	escuela_secundaria_completa_estudio_superior_no_universitario_incompleta	medio	biologia	femenino	no
17	15	13	13	14	50	4	privado	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	computacion	masculino	no
18	18	19	19	18.415	48	4	publico	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	bajo	computacion	femenino	si
15	18	18	19	18	50	16	privado	ciencias_basicas	escuela_secundaria_completa_estudio_superior_no_universitario_incompleta	bajo	computacion	masculino	si
18	16	19	19	18	60	0	publico	ciencias_basicas	escuela_secundaria_completa_estudio_superior_no_universitario_incompleta	medio	computacion	masculino	si
10	10	10	10	10	40	2	privado	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	computacion	masculino	no
12	12	14	16	17.2	40	5	publico	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	computacion	masculino	si
18	18	16	16	15	33	10	publico	ciencias_basicas	escuela_primaria_completa_escuela_secundaria_incompleta	medio	computacion	masculino	no
18	17	16	18	16.781	42	10	publico	ciencias_basicas	escuela_primaria_completa_escuela_secundaria_incompleta	medio	computacion	masculino	no
20	19	19	18	17	43	8	publico	ciencias_basicas	estudio_superior_no_universitarios_completo_estudio_universitario_incompleto	medio	computacion	femenino	si
12	11	10	13	12.50	48	8	privado	ciencias_basicas	estudio_superior_no_universitarios_completo_estudio_universitario_incompleto	medio	computacion	masculino	no
