mat_1	mat_2	mat_3	mat_4	pro2	cant_mat	cal_1	gestion_plantel	tipo_plantel	nivel_estudios_padres	nivel_socioeco	escuela	genero	opsu
17	16	12	18	16	40	4	1	2	2	2	2	2	2
16	15	13	13	14.75	38	14	1	1	3	1	2	1	2
15	15	15	16	15	50	12	2	1	3	2	4	2	1
11	14	14	15	15	35	15	2	1	5	2	4	1	2
16	15	15	16	16	40	3	2	1	2	2	1	2	2
16	16	10	12	12	14.8	17	1	1	5	1	2	2	2
10	11	10	14	15	35	10	1	1	5	1	2	2	2
18	17	15	18	17.01	72	2	1	2	4	1	2	2	1
12	17	16	19	16.50	40	9	1	2	5	2	4	2	1
19	18	19	19	16	40	4	1	1	5	2	2	2	1
17	18	20	20	19.75	45	12	1	1	1	2	3	1	1
16	17	17	18	18	50	1	2	1	4	2	1	1	1
15	13	17	15	17.75	43	1	1	1	5	1	2	1	1
19	19	19	19	16.25	51	15	2	1	4	2	2	2	2
18	17	18	17	17.5	40	3	2	1	3	2	2	2	1
14	12	14	14	13	20	2	2	1	4	2	2	2	1
11	14	12	17	15	51	4	1	1	1	2	2	2	1
17	16	17	16	17.63	42	0	2	1	5	2	2	2	2
16	14	10	15	16	50	3	1	1	2	2	2	1	1
19	20	18	17	18.3	48	9	1	1	4	2	2	2	1
18	15	10	13	12	25	10	2	2	5	2	2	2	1
20	20	18	17	15.1	50	8	2	1	3	1	2	2	1
19	14	10	14	15	36	8	1	1	5	1	2	2	1
18	17	16	18	17.25	40	6	1	1	4	2	2	2	1
19	19	19	18	19.6	37	4	2	1	5	2	2	2	1
17	18	16	18	19.192	45	13	2	1	5	2	2	2	2
18	17	18	17	17	40	2	2	1	5	2	2	2	2
15	16	14	17	15	38	10	2	1	5	2	2	2	2
19	18	15	16	17	40	10	2	2	5	1	2	2	1
20	19	18.5	20	18.85	23	7	1	1	2	1	2	2	1
13	14	16	15	14.5	35	10	2	1	5	2	2	1	2
16	17	17	13	15.26	48	6	1	1	3	1	2	2	2
18	19	17	18	14.32	44	14	1	1	5	2	4	2	2
15	17	16	14	18	50	2	1	1	5	2	1	1	1
17	18	15	16	17.098	50	3	2	5	4	2	2	2	1
18	18	16	18	17.6	42	16	2	1	5	2	1	2	1
17	18	16	17	16.40	40	8	1	1	5	2	2	2	1
19	18	16	17	17.2	40	4	1	1	1	2	2	2	1
17	15	14	13	16	50	13	2	1	5	2	4	2	1
19	20	18	20	19.1	45	10	1	1	5	2	2	1	1
19	18	18	18	17	45	4	2	1	5	2	2	1	2
12	14	12	17	15	50	4	2	1	5	2	2	2	1
10	11	12	13	11.5	10	13	1	1	4	2	4	2	1
15	15	16	16	14	35	3	2	1	5	2	2	2	1
18	19	17	18	17.8	50	7	1	1	4	2	2	2	1
13	14	12	15	16.75	40	5	1	2	5	2	2	1	2
15	14	16	18	16	55	0	1	1	4	2	1	2	2
16	18	20	18	18	40	7	1	1	5	2	2	2	1
15	14	16	16	17	55	4	1	1	3	2	1	1	2
17	15	13	13	14	50	4	2	1	5	2	2	2	2
18	18	19	19	18.415	48	4	1	1	5	1	2	1	1
15	18	18	19	18	50	16	2	1	3	1	2	2	1
18	16	19	19	18	60	0	1	1	3	2	2	2	1
10	10	10	10	10	40	2	2	1	5	2	2	2	2
12	12	14	16	17.2	40	5	1	1	5	2	2	2	1
18	18	16	16	15	33	10	1	1	2	2	2	2	2
18	17	16	18	16.781	42	10	1	1	2	2	2	2	2
20	19	19	18	17	43	8	1	1	4	2	2	1	1
12	11	10	13	12.50	48	8	2	1	4	2	2	2	2
17	16	18	17	18.30	62	9	1	1	5	2	2	1	1
14	13	15	17	16.5	40	4	2	1	5	2	2	1	1
14	15	13	14	15.34	46	9	2	1	4	2	2	2	2
19	17	14	17	17	48	2	1	1	1	1	2	2	1
10	16	17	15	18	11	10	1	1	5	2	2	1	1
18	19	18	19	18	70	11	2	2	2	2	2	1	1
19	18	17	17	18	60	12	1	1	5	1	2	2	1
17	18	18	19	17.6	40	4	1	1	1	2	5	1	1
15	17	19	18	17	45	3	1	1	4	2	2	2	1
15	16	19	17	17.2	40	4	1	1	4	2	2	2	1
18	19	18	19	18	55	11	1	1	3	2	2	2	1
16	17	17	18	17.07	48	7	1	1	3	2	2	2	1
14	16	18	18	17	32	18	2	1	5	2	2	2	1
16	14	15	18	16	40	4	1	1	5	2	2	2	1
18	17	18	19	17.67	40	6	1	1	4	2	2	2	1
12	14	15	16	14.25	12	10	1	1	3	2	2	2	1
18	18	18	18	18	40	11	2	1	4	2	2	1	1
18	18	19	19	18	50	6	2	1	5	2	3	1	1
19	20	19	17	17	35	4	1	1	1	1	2	2	1
18	17	16	19	17.475	54	4	1	2	5	2	2	1	1
18	20	13	15	17	30	10	1	1	3	1	2	1	1
17	17	17	15	17.5	41	5	2	1	3	1	2	2	1
18	14	13	15	14.13	40	11	2	1	2	2	4	2	1
13	16	19	16	16.162	50	15	2	1	3	2	2	2	2
16	18	19	19	18.88	40	4	2	1	4	2	1	2	1
19	18	18	17	18.43	40	10	2	1	5	2	2	2	1
17	15	16	11	17	40	10	1	1	4	2	2	2	1
18	20	19	19	19.57	58	14	2	1	5	2	2	2	1
18	19	18	19	19	50	10	2	1	5	2	1	1	1
18	15	17	17	15	40	10	1	1	3	2	2	1	2
16	17	20	20	18.5	40	19	2	2	5	2	2	2	1
18	17	19	19	15.5	43	7	1	1	5	2	2	2	2
19	19	15	19	18	40	14	2	1	4	2	5	1	1
18	17	18	16	18	39	10	2	1	3	2	2	2	1
18	18	18	18	18.5	34	11	1	1	4	2	2	2	1
16	17	18	18	18	35	9	1	1	4	2	2	2	1
15	16	13	14	16.6	43	14	1	1	4	2	2	2	1
18	16	15	16	15	45	0	2	1	4	2	1	2	2
17	18	15	15	14	48	10	2	5	3	2	1	1	2
15	17	18	19	17	60	4	1	1	5	2	3	2	1
18	19	18	18	18.3	42	15	2	1	5	2	4	2	2
16	17	16	18	16.9	30	11	2	1	5	2	2	1	1
20	19	19	14	17	50	17	2	1	5	2	3	2	1
14	14	20	20	17	40	14	1	1	5	1	3	2	1
13	14	13	20	15.45	53	5	1	1	3	2	3	2	2
19	18	19	19	18.5	50	13	1	1	4	2	2	2	1
16	16	13	17	18	40	10	2	1	5	2	2	2	2
20	20	20	20	19.6	20	15	2	1	4	2	2	1	1
20	19	20	20	19	50	20	2	1	5	2	5	1	1
18	18	17	18	18.81	55	5	2	2	5	2	2	2	1
20	20	20	20	20	35	2	1	1	4	1	5	2	1
16	12	11	14	16.5	42	10	2	1	2	2	2	1	1
16	17	16	14	18.05	51	7	2	1	4	2	5	1	1
19	18	17	18	18	43	4	2	1	5	1	2	2	2
18	18	18	18	18.82	40	15	2	2	3	1	2	1	1
17	18	17	19	14	42	11	2	1	3	2	2	2	1
11	15	10	10	14	39	4	2	1	5	2	2	2	2
17	16	17	18	19.1	40	0	1	1	5	1	2	2	1
16	18	15	14	14	43	4	2	1	5	2	5	2	2
15	14	12	10	14.002	51	10	2	1	3	2	2	2	2
19	17	18	19	19	40	8	1	1	5	2	1	2	1
14	14	16	16	17.35	36	12	2	1	5	2	2	1	2
17	18	19	18	18.6	44	8	1	1	5	2	2	1	1
